"PUID","Format Name","Format Version","Format Risk","Extension"
"fmt/98","Hypertext Markup Language","3.2","","htm,html,"
"fmt/99","Hypertext Markup Language","4.0","","htm,html,"
"fmt/100","Hypertext Markup Language","4.01","","htm,html,"
"fmt/471","Hypertext Markup Language","5","","htm,html,"
"fmt/1132","Netscape Bookmark File Format","","","htm,html,"
"fmt/102","Extensible Hypertext Markup Language","1.0","","html,htm,"
"x-fmt/417","HTML Extension File","","","htx,"
"fmt/1791","Haiku Vector Icon Format","","","hvif,"
"fmt/1083","Hangul Word Processor Document","3","","hwp,"
"fmt/1084","Hangul Word Processor Document","5","","hwp,"
"fmt/1793","ICDRAW Group Icon File","","","ib3,"
"fmt/1792","ICDRAW Single Icon File","","","ibi,"
"fmt/482","Apple iBook format","","","ibooks,"
"fmt/1907","Micrografx Icon File","","","icn,"
"fmt/1185","Apple Icon Image Format","","","icns,"
"x-fmt/418","Icon file format","","","ico,"
"fmt/1168","Maya Icons or Swatches file","","","icons,swatches,"
"fmt/577","Image Cytometry Standard","1","","ics,"
"fmt/578","Image Cytometry Standard","2","","ics,"
"fmt/388","Internet Calendar and Scheduling format","","","ics,"
"fmt/1184","InDesign Markup Language Package","","","idml,"
"fmt/358","Internet Data Query File","","","idq,"
"x-fmt/327","IntelliDraw Vector Graphics","","","idw,"
"fmt/1288","IESNA LM-63 Photometric Data File","","","ies,"
"fmt/659","Industry Foundation Classes","2x2","","ifc,"
"fmt/699","Industry Foundation Classes","2x3","","ifc,"
"fmt/700","Industry Foundation Classes","4","","ifc,"
"fmt/663","Industry Foundation Classes XML","","","ifcXML,"
"x-fmt/157","Interchange File","","","iff,"
"fmt/339","Interchange File Format 8-bit Sampled Voice","","","iff,8svx,"
"fmt/1169","Maya IFF Image File","","","iff,ico,"
"fmt/338","Interchange File Format Interleaved Bitmap","","","iff,lbm,"
"x-fmt/419","DVD data file and backup data file","","","ifo,bup,"
"fmt/1563","ERDAS Imagine Large Raster Spill File","","","ige,"
"x-fmt/158","Initial Graphics Exchange Specification (IGES)","5.x","","iges,igs,"
"fmt/1061","Phase One IIQ Raw Image","","","iiq,"
"fmt/1014","INTERLIS Model File","1","","ili,"
"fmt/1012","INTERLIS Model File","2.2","","ili,"
"fmt/654","INTERLIS Model File","2.3","","ili,"
"x-fmt/228","Applixware Bitmap","","","im,"
"fmt/1609","exFAT (Extensible File Allocation Table) Disc Image","","","img,"
"x-fmt/159","GEM Image","","","img,"
"fmt/1105","Hierarchical File System","","","img,"
"fmt/1742","Hierarchical File System Plus","","","img,dmg,toast,"
"fmt/1087","FAT Disk Image","","","img,ima,dsk,"
"fmt/1215","Reduced Resolution Dataset","","","img,ovr,rrd,aux,aoi,cff,fft,gcc,sig,sml,"
"fmt/383","VICAR (Video Image Communication and Retrieval) Planetary File Format","","","img,vic,vicar,"
"fmt/982","iMovieProj File Format","","","iMovieProj,"
"fmt/548","Adobe InDesign Document","CS2","","ind,indd,indt,"
"fmt/549","Adobe InDesign Document","CS3","","ind,indd,indt,"
"fmt/550","Adobe InDesign Document","CS4","","ind,indd,indt,"
"fmt/551","Adobe InDesign Document","CS5","","ind,indd,indt,"
"fmt/552","Adobe InDesign Document","CS6","","ind,indd,indt,"
"x-fmt/450","Adobe InDesign Document","Generic","","ind,indd,indt,"
"fmt/1191","Adobe InDesign Book","","","indb,"
"fmt/1628","Adobe InDesign Document","1.0","","indd,ind,"
"fmt/1629","Adobe InDesign Document","1.5","","indd,ind,indt,"
"fmt/1630","Adobe InDesign Document","2.0","","indd,ind,indt,"
"fmt/1632","Adobe InDesign Document","CC","","indd,ind,indt,"
"fmt/1633","Adobe InDesign Document","CC 2014","","indd,ind,indt,"
"fmt/1634","Adobe InDesign Document","CC 2015","","indd,ind,indt,"
"fmt/1635","Adobe InDesign Document","CC 2017","","indd,ind,indt,"
"fmt/1636","Adobe InDesign Document","CC 2018","","indd,ind,indt,"
"fmt/1637","Adobe InDesign Document","CC 2019","","indd,ind,indt,"
"fmt/1638","Adobe InDesign Document","CC 2020","","indd,ind,indt,"
"fmt/1639","Adobe InDesign Document","CC 2021","","indd,ind,indt,"
"fmt/1640","Adobe InDesign Document","CC 2022","","indd,ind,indt,"
"fmt/1941","Adobe InDesign Document","CC 2023","","indd,ind,indt,"
"fmt/1942","Adobe InDesign Document","CC 2024","","indd,ind,indt,"
"fmt/196","Adobe InDesign Document","CS","","indd,ind,indt,"
"fmt/1631","Adobe InDesign Document","CS5.5","","indd,ind,indt,"
"fmt/1642","Adobe InDesign Library","2","","indl,"
"fmt/1192","Adobe InDesign Library","4","","indl,"
"fmt/331","Autorun Configuration File","","","inf,"
"fmt/212","Information or Setup File","","","inf,"
"x-fmt/420","Windows Setup File","","","inf,"
"fmt/1202","Guymager Acquisition Info File","","","info,"
"fmt/1496","ZoomBrowser Ex Thumbnail Cache","","","info,"
"x-fmt/229","Intergraph Raster Image","","","ing,"
"x-fmt/421","Text Configuration file","","","ini,"
"fmt/1641","Adobe InDesign Interchange Document","","","inx,"
"fmt/197","InstallShield Compiled Rules File","","","inx,"
"fmt/1206","Impulse 3D Data Description Object","","","iob,"
"fmt/1119","Jupyter Python Notebook","","","ipynb,"
"x-fmt/58","Microsoft Excel Web Query","","","iqy,"
"fmt/1567","ISDOC Information System Document","5.x","","isdoc,"
"fmt/1570","ISDOC Information System Document","6.0.1","","isdoc,"
"fmt/1568","ISDOCX Information System Document","5.x","","isdocx,"
"fmt/1571","ISDOCX Information System Document","6.0.1","","isdocx,"
"fmt/1647","Inspiration Software File","","","isf,"
"fmt/1680","INTREPID Standard Information File","3.7 onwards","","isi,"
"fmt/468","ISO 9660 Disk Image File","","","iso,toast,cdr,dmg,bin,"
"fmt/1757","Apple Partition Map - ISO 9660 - UDF Hybrid Disk Image","","","iso,toast,dmg,"
"fmt/715","Impulse Tracker Module","","","it,"
"fmt/1013","INTERLIS Transfer File","1","","itf,"
"fmt/832","Open Inventor File Format","1.x","","iv,"
"fmt/833","Open Inventor File Format","2.x","","iv,"
"fmt/647","Microsoft Expression Media","2","","ivc,"
"fmt/1441","Apple iWork Document","14","","iwa,key,pages,numbers,template,"
"fmt/1794","JPEG 2000 Codestream","","","j2k,jpc,j2c,"
"fmt/975","Jamcracker Tracker Module","","","jam,"
"x-fmt/412","Java Archive Format","","","jar,"
"x-fmt/422","Java Language Source Code File","","","java,"
"fmt/217","PaintShop Pro Browser Cache File","","","jbf,"
"fmt/895","JEOL NMR Spectroscopy","","","jdf,"
"fmt/994","Jeffs Image Format","","","jif,"
"fmt/150","JPEG-LS","","","jls,"
"fmt/1402","Student Writing Center Journal","","","jn,jnt,"
"fmt/529","JPEG Network Graphics","","","jng,"
"fmt/1051","Windows Journal Format","","","jnt,jtp,"
"x-fmt/392","JP2 (JPEG 2000 part 1)","","","jp2,"
"fmt/41","Raw JPEG Stream","","","jpe,jpg,jpeg,jif,jfif,jfi,"
"fmt/42","JPEG File Interchange Format","1.00","","jpeg,jpe,jpg,jif,jfif,jfi,"
"fmt/43","JPEG File Interchange Format","1.01","","jpg,jpe,jpeg,jif,jfif,jfi,"
"fmt/44","JPEG File Interchange Format","1.02","","jpg,jpe,jpeg,jif,jfif,jfi,"
"x-fmt/398","Exchangeable Image File Format (Compressed)","2.0","","jpg,jpeg,"
"x-fmt/390","Exchangeable Image File Format (Compressed)","2.1","","jpg,jpeg,"
"x-fmt/391","Exchangeable Image File Format (Compressed)","2.2","","jpg,jpeg,"
"fmt/645","Exchangeable Image File Format (Compressed)","2.21","","jpg,jpeg,"
"fmt/1507","Exchangeable Image File Format (Compressed)","2.3.x","","jpg,jpeg,"
"fmt/463","JPM (JPEG 2000 part 6)","","","jpm,"
"fmt/151","JPX (JPEG 2000 part 2)","","","jpx,jpf,"
"x-fmt/423","JavaScript file","","","js,"
"fmt/817","JSON Data Interchange Format","","","json,"
"fmt/1311","Tweet JSON","","","json,"
"fmt/880","JSON-LD","","","jsonld,"
"x-fmt/160","Java Servlet Page","","","jsp,"
"fmt/1908","Jupiter Tesselation (JT) File","","","jt,"
"fmt/1400","Ichitaro Document","8","","jtd,jtt,$td,"
"x-fmt/330","JustWrite Text Document","","","jw,jwt,"
"fmt/1493","NTI JewelCase Maker","","","jwc,"
"fmt/1644","Roxio Label Creator Project File","4-5","","jwl,"
"fmt/1645","Roxio Label Creator Project File","6-7","","jwl,"
"fmt/1646","Roxio Label Creator Project File","8-11","","jwl,"
"fmt/1125","JASCO JWS Format","OLE2","","jws,"
"fmt/1485","JPEG XL","","","jxl,"
"fmt/1484","JPEG XL Codestream","","","jxl,"
"fmt/646","Apple iWork Keynote","09","","key,"
"fmt/244","Keyhole Markup Language (XML)","","","kml,"
"fmt/724","Keyhole Markup Language (Container)","","","kmz,"
"fmt/999","Krita Document Format","","","kra,"
"fmt/970","Khronos Texture File","","","ktx,"
"fmt/804","Logical File Evidence Format","","","l01,"
"x-fmt/59","AutoCAD Last Saved Layer State","","","las,"
"fmt/389","Log ASCII Standard Format","1.2","","las,"
"fmt/390","Log ASCII Standard Format","2.0","","las,"
"fmt/391","Log ASCII Standard Format","3.0","","las,"
"fmt/368","ASPRS Lidar Data Exchange Format","1.0","","las,laz,"
"fmt/369","ASPRS Lidar Data Exchange Format","1.1","","las,laz,"
"fmt/370","ASPRS Lidar Data Exchange Format","1.2","","las,laz,"
"x-fmt/424","Deluxe Paint bitmap","","","lbm,"
"fmt/335","Dreamweaver Lock File","","","lck,"
"fmt/218","Microsoft FrontPage","","","lck,"
"fmt/611","LDAP Data Interchange Format","","","ldif,"
"fmt/1217","Leonardo Image Format","","","leo,"
"fmt/1868","Leapfrog Geo 3D Scene Format","","","lfsc,"
"fmt/1830","3D Studio (DOS) 2D/3D Loft Object File","","","lft,"
"fmt/1838","Leica Project File","","","lgs,"
"fmt/626","LHA File Format","","","lha,lzh,"
"x-fmt/425","Generic Library File","","","lib,"
"x-fmt/426","License file","","","lic,"
"x-fmt/60","AutoCAD Linetype Definition File","","","lin,"
"fmt/867","Microsoft Reader eBook","","","lit,"
"x-fmt/61","AutoCAD Landscape Library","","","lli,"
"fmt/1334","Sony PictureGear Studio PrintStudio","","","lmu,lmd,"
"x-fmt/427","Acrobat Language definition file","","","lng,"
"x-fmt/428","Microsoft Windows Shortcut","","","lnk,"
"fmt/1643","Lenel Network Video Recorder File","","","lnr,"
"fmt/904","Bluetooth Snoop Packet Capture","","","log,"
"x-fmt/62","Log File","","","log,"
"fmt/1329","Avery Label Pro Document","3","","lpd,"
"fmt/498","ActiveX License Package file","","","lpk,"
"fmt/518","Broad Band eBook","LRF","","lrf,"
"x-fmt/63","AutoLISP File","","","lsp,"
"fmt/526","Adobe Font List","","","lst,"
"fmt/1405","Student Writing Center Letter","","","lt,ltt,"
"fmt/1205","LightWave 3D Object","","","lw,"
"fmt/1151","Lightwright Show File","1","","lw1,lw,"
"fmt/1152","Lightwright Show File","2","","lw2,"
"fmt/1153","Lightwright Show File","3","","lw3,"
"fmt/1154","Lightwright Show File","4","","lw4,"
"fmt/1155","Lightwright Show File","5","","lw5,"
"fmt/1156","Lightwright Show File","6","","lw6,"
"x-fmt/340","Lotus WordPro Document","96","","lwp,"
"fmt/340","Lotus WordPro Document","97/Millennium","","lwp,"
"fmt/1847","Esri ArcMap Label file","","","lxp,"
"fmt/1678","MATLAB Script File","","","m,"
"fmt/585","MPEG-2 Transport Stream","","","m2t,ts,m2ts,"
"x-fmt/279","MPEG 1/2 Audio Layer 3 Streaming","","","m3u,"
"fmt/596","Apple Lossless Audio Codec","","","m4a,mp4,"
"fmt/863","Maya ASCII File Format","","","ma,"
"fmt/612","Mork","","","mab,msf,dat,"
"x-fmt/161","MacPaint Image","1","","mac,"
"fmt/1548","Visual Basics MAK File","3 or earlier","","mak,"
"fmt/915","Mapsforge Binary Map File Format","","","map,"
"fmt/1483","Mar Archive","","","mar,mac,"
"x-fmt/335","Lotus Freelance Smartmaster Graphics","","","mas,"
"fmt/1550","MATLAB Mat File","Level 4","","mat,"
"fmt/1177","MicroStation Material Library","","","mat,"
"fmt/806","MATLAB Mat File","Level 5","","mat,fig,"
"fmt/828","MATLAB Mat File","Level 7.3","","mat,fig,"
"fmt/1465","OrCAD Layout File","","","max,"
"fmt/1223","PaperPort MAX","2","","max,"
"fmt/1224","PaperPort MAX","3-4","","max,"
"fmt/1225","PaperPort MAX","5-7","","max,"
"fmt/1339","PaperPort MAX","8-12","","max,"
"fmt/978","3DS Max","","","max,chr,"
"fmt/1658","XL-Paint MaX","","","max,xlp,"
"fmt/861","Maya Binary File Format","32 Bit","","mb,"
"fmt/862","Maya Binary File Format","64 Bit","","mb,"
"fmt/1467","STOS Memory Bank","","","mbk,"
"fmt/720","MBOX","","","mbox,"
"fmt/1918","MetaCard Stack","2.x","","mc,rev,"
"fmt/1712","Calc602 Macro File","","","mc6,"
"fmt/1819","MacCaption File","1","","mcc,"
"fmt/1820","MacCaption File","2","","mcc,"
"fmt/931","Mathcad Document","Binary","","mcd,"
"fmt/1136","MiniCAD","6","","mcd,"
"fmt/1137","MiniCAD","7","","mcd,"
"fmt/1138","MiniCAD/VectorWorks","8","","mcd,vwx,"
"fmt/346","Microsoft Word for Macintosh Document","1.0","","mcw,"
"x-fmt/1","Microsoft Word for Macintosh Document","3.0","","mcw,"
"x-fmt/64","Microsoft Word for Macintosh Document","4.0","","mcw,"
"x-fmt/65","Microsoft Word for Macintosh Document","5.0","","mcw,"
"fmt/1149","Markdown","","","md,markdown,"
"fmt/993","MD5 File","","","md5,"
"fmt/1805","Microsoft Access Database File","1.0","","mdb,mda,"
"fmt/1806","Microsoft Access Database File","1.1","","mdb,mda,"
"x-fmt/66","Microsoft Access Database File","2.0","","mdb,mda,"
"fmt/1807","Microsoft Access Encrypted Database File","1.0","","mdb,mda,"
"fmt/1808","Microsoft Access Encrypted Database File","1.1","","mdb,mda,"
"fmt/1809","Microsoft Access Encrypted Database File","2.0","","mdb,mda,"
"x-fmt/238","Microsoft Access Database File","95","","mdb,mda,mde,mdt,"
"x-fmt/239","Microsoft Access Database File","97","","mdb,mda,mdt,mde,"
"x-fmt/240","Microsoft Access Database File","2000","","mdb,mde,"
"x-fmt/241","Microsoft Access Database File","2002","","mdb,mde,"
"fmt/1726","Geosoft Map Description File","","","mdf,"
"fmt/1758","Media Descriptor File","","","mdf,"
"fmt/1056","SNAP Main Data File","","","mdf,"
"fmt/881","Microsoft Document Imaging File Format","","","mdi,"
"fmt/1759","Media Descriptor Sidecar File","","","mds,"
"fmt/1258","Microsoft Access Workgroup Information File","","","mdw,"
"fmt/965","Music Encoding Initiative","","","mei,"
"fmt/1188","Ogre Mesh 1.x","","","mesh,"
"x-fmt/350","OmniPage Pro Document","5-9","","met,"
"x-fmt/67","OS/2 Presentation Manager Metafile (MET)","","","met,"
"fmt/1468","multiArtist File","","","mg1,mg2,mg4,mg8,"
"fmt/1765","Media Hash List","","","mhl,"
"x-fmt/429","MHTML","","","mht,mhtml,"
"x-fmt/225","ESRI MapInfo Data File","","","mid,"
"x-fmt/230","MIDI Audio","","","mid,midi,"
"x-fmt/162","Adobe FrameMaker Interchange Format","","","mif,"
"fmt/1749","Canon MIF File","","","mif,"
"x-fmt/231","ESRI MapInfo Export File","","","mif,"
"fmt/930","Magick Image File Format","","","mif,"
"fmt/1470","MIG Graphics File","","","mig,"
"fmt/594","Microsoft PhotoDraw","1.0","","mix,"
"fmt/936","Microsoft Picture It! Image File","1","","mix,"
"fmt/337","MJ2 (Motion JPEG 2000)","","","mj2,mjp2,"
"fmt/1469","MAKIchan Graphics File","","","mki,mag,max,"
"fmt/569","Matroska","1-4","","mkv,mk3d,mka,mks,"
"fmt/972","Dolby MLP Lossless Audio","","","mlp,"
"fmt/1178","Synthetic Music Mobile Application Format","","","mmf,"
"fmt/521","Adobe Multiple Master Metrics font file","","","mmm,"
"x-fmt/68","AutoCAD Compiled Menu","","","mnc,"
"fmt/528","Multiple-image Network Graphics","","","mng,"
"fmt/1870","Yamaha PSR Disk Manager File","","","mng,"
"x-fmt/69","AutoLISP Menu Source File","","","mnl,"
"x-fmt/70","AutoCAD Menu Resource File","","","mnr,mnt,"
"x-fmt/71","AutoCAD Source Menu File","","","mns,"
"x-fmt/72","AutoCAD Template Menu File","","","mnu,"
"fmt/1461","Autorun Maestro Menu File","","","mnu,"
"fmt/396","PocketMobi (Palm Resource) File","","","mobi,prc,"
"fmt/162","Microsoft Multiplan","4.0","","mod,"
"fmt/716","MOD Audio Module","","","mod,"
"x-fmt/436","CATIA Model","4","","mod,model,"
"fmt/1714","CATIA Model File","3","","model,"
"fmt/1063","Leaf Mosaic Raw Image","","","mos,"
"fmt/797","Apple ProRes","","","mov,"
"x-fmt/384","Quicktime","","","mov,qtm,"
"fmt/347","MPEG 1/2 Audio Layer I","","","mp1,"
"fmt/198","MPEG Audio Stream Layer II","","","mp2,mpw,mpa,"
"fmt/134","MPEG 1/2 Audio Layer 3","","","mp3,"
"fmt/199","MPEG-4 Media File","","","mp4,m4v,m4a,f4v,f4a,"
"fmt/648","Media View Pro","","","mpcatalog,"
"x-fmt/385","MPEG-1 Program Stream","","","mpeg,mpg,"
"x-fmt/386","MPEG-2 Program Stream","","","mpeg,mpg,mod,"
"fmt/649","MPEG-1 Elementary Stream","","","mpg,mpeg,m1v,"
"fmt/640","MPEG-2 Elementary Stream","","","mpg,mpeg,m2v,"
"fmt/1434","Minitab Project","12-13","","mpj,"
"fmt/1436","Minitab Project","14","","mpj,"
"fmt/1438","Minitab Project","15+","","mpj,"
"fmt/1074","AVCHD Playlist File","","","mpl,mpls,"
"x-fmt/247","Microsoft Project","2000-2003","","mpp,"
"fmt/440","Microsoft Project","2007","","mpp,"
"fmt/725","Microsoft Project","2010","","mpp,"
"x-fmt/243","Microsoft Project","4.0","","mpp,"
"x-fmt/244","Microsoft Project","95","","mpp,"
"x-fmt/245","Microsoft Project","98","","mpp,"
"fmt/1471","Multi Palette Picture File","","","mpp,"
"x-fmt/232","Microsoft Project Export File","1.0","","mpx,"
"fmt/343","Microsoft Project Export File","3.0","","mpx,"
"fmt/342","Microsoft Project Export File","4.0","","mpx,"
"fmt/669","Minolta RAW","","","mrw,"
"fmt/1472","Magic Shadow Archiver Disk Image File","","","msa,"
"fmt/475","Microsoft Management Console Snap-in Control file","","","msc,"
"x-fmt/430","Microsoft Outlook Email Message","97-2003","","msg,oft,"
"fmt/1915","ActiveMime Object","","","mso,"
"x-fmt/214","Microsoft Paint","1","","msp,"
"fmt/912","Microsoft Paint","2","","msp,"
"fmt/1890","Memory Stick Voice File (MSV)","ADPCM Codec","","msv,"
"fmt/1892","Memory Stick Voice File (MSV)/Digital Voice File (DVF)","LPEC Codec","","msv,dvf,"
"fmt/472","Sony Digital Voice File/Sony Memory Stick Voice File","","","msv,dvf,"
"fmt/971","Microsoft Windows Movie Maker File","","","mswmm,"
"fmt/1211","Wavefront Material Template Library","","","mtl,"
"fmt/719","MultiTracker Module","","","mtm,"
"fmt/1431","Minitab Portable Worksheet","","","mtp,"
"fmt/1055","M2TS","","","mts,m2ts,"
"fmt/1432","Minitab Worksheet","12","","mtw,"
"fmt/1433","Minitab Worksheet","13","","mtw,"
"fmt/1435","Minitab Worksheet","14","","mtw,"
"fmt/1437","Minitab Worksheet","15+","","mtw,"
"fmt/1430","Minitab Worksheet","8-11","","mtw,"
"fmt/397","Enigma Binary File (Finale)","","","mus,"
"fmt/1473","Archimedes Tracker Module","","","musx,"
"fmt/1901","SGI Movie File","","","mv,movie,"
"fmt/1800","Multimedia Viewer Book","","","mvb,"
"fmt/1386","Muvee autoProducer Project File","1-5","","mve,"
"fmt/1387","Muvee autoProducer Project File","6","","mvex,"
"fmt/916","ESRI ArcMap Document","","","mxd,mxt,"
"fmt/200","Material Exchange Format","Operational Pattern 1a","","mxf,"
"fmt/783","Material Exchange Format","Operational Pattern 1b","","mxf,"
"fmt/784","Material Exchange Format","Operational Pattern 1c","","mxf,"
"fmt/785","Material Exchange Format","Operational Pattern 2a","","mxf,"
"fmt/786","Material Exchange Format","Operational Pattern 2b","","mxf,"
"fmt/787","Material Exchange Format","Operational Pattern 2c","","mxf,"
"fmt/788","Material Exchange Format","Operational Pattern 3a","","mxf,"
"fmt/789","Material Exchange Format","Operational Pattern 3b","","mxf,"
"fmt/790","Material Exchange Format","Operational Pattern 3c","","mxf,"
"fmt/791","Material Exchange Format","Operational Pattern OP-ATOM","","mxf,"
"fmt/1146","Maxwell Render Image Format","","","mxi,"
"fmt/897","Compressed MusicXML","","","mxl,"
"fmt/1145","Maxwell Render Material File","","","mxm,"
"fmt/961","Mobile eXtensible Music Format","","","mxmf,"
"fmt/1900","Mass Spectrometry Markup Language","","","mxml,"
"fmt/1147","Maxwell Render Scene File Format","","","mxs,"
"fmt/1197","MyISAM Indexes File","","","myi,"
"fmt/873","Notation3","","","n3,"
"fmt/1486","Novell Address Book","","","nab,"
"x-fmt/163","NAP Metafile","","","nap,"
"fmt/201","Mathematica Notebook","","","nb,"
"x-fmt/349","Nota Bene Text File","","","nb,"
"fmt/283","netCDF-3 64-bit","","","nc,cdf,"
"fmt/282","netCDF-3 Classic","","","nc,cdf,"
"fmt/1368","Nero CoverDesigner File","","","ncd,"
"fmt/1902","Norton Change Directory Persistent Cache File","","","ncd,"
"fmt/1166","Niton Data Transfer","","","ndt,"
"fmt/202","Nikon Digital SLR Camera Raw Image File","","","nef,nrw,"
"fmt/1157","Folio Infobase File","2","","nfo,"
"fmt/1158","Folio Infobase File","3","","nfo,"
"fmt/1159","Folio Infobase File","4","","nfo,"
"fmt/983","NIB File Format","","","nib,"
"fmt/1545","NeoDesk Icon File","1 and 2","","nic,"
"fmt/1540","NeoDisk Icon File","3","","nic,"
"fmt/974","Notation Interchange File Format","","","nif,"
"fmt/798","The Neuroimaging Informatics Technology Initiative File Format","1","","nii,"
"fmt/1094","The Neuroimaging Informatics Technology Initiative File Format","2","","nii,"
"fmt/1596","ESRI ArcInfo Grid .nit File","","","nit,"
"fmt/1404","Student Writing Center Newsletter","","","nl,nlt,"
"fmt/1551","NetWare Loadable Module","","","nlm,"
"fmt/1546","Daisy-Dot Font File","I and II","","nlq,"
"fmt/1547","Daisy-Dot Font File","III","","nlq,"
"fmt/1896","Nokia Picture Message","","","npm,"
"fmt/1743","Nero Burning ROM Image File","Generic","","nrg,"
"fmt/1002","Nearly Raw Raster Data","1","","nrrd,"
"fmt/1003","Nearly Raw Raster Data","2","","nrrd,"
"fmt/1004","Nearly Raw Raster Data","3","","nrrd,"
"fmt/1005","Nearly Raw Raster Data","4","","nrrd,"
"fmt/1006","Nearly Raw Raster Data","5","","nrrd,"
"x-fmt/336","Lotus Notes Database","2","","ns2,nsf,"
"x-fmt/337","Lotus Notes Database","3","","ns3,nsf,"
"x-fmt/338","Lotus Notes Database","4","","ns4,nsf,"
"fmt/644","Nullsoft Scriptable Install System","","","nsi,"
"fmt/1176","Nullsoft Streaming Video","","","nsv,"
"fmt/364","National Imagery Transmission Format","1.0","","ntf,"
"fmt/365","National Imagery Transmission Format","2.0","","ntf,"
"fmt/366","National Imagery Transmission Format","2.1","","ntf,"
"fmt/825","Apple iWork Numbers","Generic","","numbers,"
"fmt/816","NUT Open Container Format","","","nut,"
"fmt/1227","NMRView","","","nv,"
"fmt/858","Navisworks Document","2010","","nwd,nwc,"
"fmt/859","Navisworks Document","2011","","nwd,nwc,"
"fmt/860","Navisworks Document","2012","","nwd,nwc,"
"fmt/857","Navisworks Document","Generic","","nwd,nwc,"
"fmt/237","Microsoft Office Binder File for Windows","95","","obd,"
"fmt/240","Microsoft Office Binder File for Windows","97-2000","","obd,"
"fmt/1210","Wavefront OBJ File","","","obj,"
"fmt/1681","OBO Flat File Format","1.2","","obo,"
"fmt/238","Microsoft Office Binder Template for Windows","95","","obt,"
"fmt/241","Microsoft Office Binder Template for Windows","97-2003","","obt,"
"fmt/239","Microsoft Office Binder Wizard for Windows","95","","obz,"
"fmt/242","Microsoft Office Binder Wizard for Windows","97-2003","","obz,"
"fmt/1505","Agisoft Point Cloud","","","oc3,"
"fmt/140","OpenDocument Database Format","1.0","","odb,"
"fmt/444","OpenDocument Database Format","1.1","","odb,"
"fmt/424","OpenDocument Database Format","1.2","","odb,"
"fmt/1752","OpenDocument Database Format","1.3","","odb,"
"fmt/695","Optimised Dalvik Executable Format","","","odex,"
"fmt/1753","OpenDocument Graphics","1.3","","odg,"
"fmt/139","OpenDocument Graphics","1.0","","odg,otg,"
"fmt/296","OpenDocument Graphics","1.1","","odg,otg,"
"fmt/297","OpenDocument Graphics","1.2","","odg,otg,"
"fmt/1754","OpenDocument Presentation","1.3","","odp,"
"fmt/138","OpenDocument Presentation","1.0","","odp,otp,"
"fmt/292","OpenDocument Presentation","1.1","","odp,otp,"
"fmt/293","OpenDocument Presentation","1.2","","odp,otp,"
"fmt/1755","OpenDocument Spreadsheet","1.3","","ods,"
"fmt/137","OpenDocument Spreadsheet","1.0","","ods,ots,"
"fmt/294","OpenDocument Spreadsheet","1.1","","ods,ots,"
"fmt/295","OpenDocument Spreadsheet","1.2","","ods,ots,"
"x-fmt/3","Online Description Tool Format","","","odt,"
"fmt/1756","OpenDocument Text","1.3","","odt,"
"fmt/136","OpenDocument Text","1.0","","odt,ott,"
"fmt/290","OpenDocument Text","1.1","","odt,ott,"
"fmt/291","OpenDocument Text","1.2","","odt,ott,"
"fmt/309","Open Financial Exchange","1.02","","ofx,qfx,"
"fmt/310","Open Financial Exchange","1.03","","ofx,qfx,"
"fmt/311","Open Financial Exchange","1.6","","ofx,qfx,"
"fmt/312","Open Financial Exchange","2.0.3","","ofx,qfx,"
"fmt/313","Open Financial Exchange","2.1.1","","ofx,qfx,"
"fmt/947","Ogg FLAC Compressed Multimedia File","","","ogg,"
"fmt/203","Ogg Vorbis Codec Compressed Multimedia File","","","ogg,"
"fmt/944","Ogg Multimedia Container","","","ogg,ogv,spx,opus,"
"fmt/946","Ogg Opus Codec Compressed Multimedia File","","","ogg,opus,"
"fmt/948","Ogg Speex Codec Multimedia File","","","ogg,spx,"
"fmt/945","Ogg Theora Video","","","ogv,ogg,"
"fmt/722","Oktalyzer Audio file","","","okt,"
"x-fmt/73","Microsoft Outlook Address Book","","","olk,"
"fmt/1854","Open Media Framework Interchange","1.0","","omf,"
"fmt/1855","Open Media Framework Interchange","2.0","","omf,"
"fmt/637","Microsoft OneNote","","","one,"
"fmt/987","Microsoft OneNote Package File","","","onepkg,"
"fmt/1372","OmniPage Document","12","","opd,"
"fmt/1373","OmniPage Document","18","","opd,"
"fmt/1371","OmniPage Pro Document","10","","opd,"
"fmt/207","Obsidium Project File","","","opf,"
"fmt/1572","OrCAD Project File","","","opj,"
"fmt/1123","Origin Project Format","Non-Unicode","","opj,ogg,ogm,ogw,"
"fmt/1124","Origin Project Format","Unicode","","opju,oggu,ogmu,ogwu,"
"fmt/1882","OPML File","1.*","","opml,"
"fmt/1883","OPML File","2","","opml,"
"fmt/1457","OrgPlus File","","","opx,opxt,ops,"
"x-fmt/74","Microsoft Excel OLAP Query","","","oqy,"
"fmt/998","OpenRaster Image Format","","","ora,"
"fmt/668","Olympus RAW","","","orf,"
"fmt/520","OpenType Font File","","","otf,"
"fmt/823","P00 C64 Image Format","","","p00,p01,p02,p03,p04,"
"fmt/876","Pagemaker Document (Generic)","","","p65,pmd,pmt,"
"fmt/1718","PageMaker Mac Document","6.5-7.0","","p65,t65,pmd,pmt,"
"x-fmt/181","PageMaker PC Document","6.5-7.0","","p65,t65,pmd,pmt,"
"fmt/1497","XV Thumbnail","","","p7,"
"fmt/670","PKCS #7 Cryptographic Message File","","","p7m,p7b,p7s,"
"x-fmt/75","Microsoft Outlook Personal Address Book","","","pab,"
